model,status,battery,longitude,latitude,x_pixel,y_pixel
S-00,operative,82,41.404145601695674,2.174113136255988,449,176
S-01,operative,71,41.40415147079839,2.174127922389432,478,250
S-02,operative,63,41.4040910610308,2.174187032245044,176,545
S-03,operative,87,41.404065775699,2.174166741663468,50,444
S-04,operative,46,41.40422173147334,2.174103930246913,829,130
S-05,operative,17,41.404133671241254,2.174084639414838,389,34
S-06,operative,77,41.40416758397068,2.1741472931502805,558,347
S-07,operative,55,41.40411627395595,2.1741173240377125,302,197
S-08,operative,61,41.404102391656856,2.174084930416212,233,36
S-09,operative,45,41.40419048549106,2.174122569197058,673,223
